yearID,teamID,G,W,WAR,Salary,Adj_Factor,Adjusted_Salary,Attendance
2000,DET,162,79,24.5,"$59,205,167 ",1.46,"$86,439,544 ","2,438,617"
2000,FLA,161,79,14.4,"$19,194,000 ",1.46,"$28,023,240 ","1,173,389"
2000,HOU,162,72,17.3,"$51,289,111 ",1.46,"$74,882,102 ","3,020,581"
2000,KCR,162,77,23.6,"$24,700,500 ",1.46,"$36,062,730 ","1,564,847"
2000,LAA,162,82,29.5,"$52,264,167 ",1.46,"$76,305,684 ","2,066,982"
2000,LAD,162,86,21.9,"$87,924,286 ",1.46,"$128,369,458 ","2,880,242"
2000,MIL,163,73,12.9,"$35,633,333 ",1.46,"$52,024,666 ","1,573,621"
2000,MIN,162,69,6.2,"$17,529,500 ",1.46,"$25,593,070 ","1,000,760"
2000,MON,162,67,5.2,"$29,794,333 ",1.46,"$43,499,726 ","926,272"
2000,NYM,162,94,21.6,"$79,509,776 ",1.46,"$116,084,273 ","2,820,530"
2000,NYY,161,87,21.5,"$92,713,260 ",1.46,"$135,361,360 ","3,227,657"
2000,OAK,161,91,25.3,"$33,172,333 ",1.46,"$48,431,606 ","1,728,885"
2000,PHI,162,65,9.5,"$44,308,000 ",1.46,"$64,689,680 ","1,612,769"
2000,PIT,162,69,9.3,"$29,328,334 ",1.46,"$42,819,368 ","1,748,908"
2000,SDP,162,76,13.7,"$47,879,333 ",1.46,"$69,903,826 ","2,423,149"
2000,SEA,162,91,32.9,"$60,295,000 ",1.46,"$88,030,700 ","3,148,317"
2000,SFG,162,97,34.1,"$53,737,826 ",1.46,"$78,457,226 ","3,318,800"
2000,STL,162,95,29.8,"$61,653,863 ",1.46,"$90,014,640 ","3,336,493"
2000,TBD,161,69,10.9,"$53,840,129 ",1.46,"$78,606,588 ","1,479,782"
2000,TEX,162,71,15.8,"$67,770,921 ",1.46,"$98,945,545 ","2,800,075"
2000,TOR,162,83,21.9,"$46,038,332 ",1.46,"$67,215,965 ","1,819,919"
2001,ARI,162,92,21.4,"$76,855,499 ",1.42,"$109,134,809 ","2,735,821"
2001,ATL,162,88,16.9,"$91,291,666 ",1.42,"$129,634,166 ","2,823,530"
2001,BAL,162,63,12.6,"$55,345,500 ",1.42,"$78,590,610 ","3,094,841"
2001,BOS,161,82,15.5,"$109,833,333 ",1.42,"$155,963,333 ","2,625,333"
2001,CHC,162,83,21.6,"$64,715,833 ",1.42,"$91,896,483 ","2,780,465"
2001,CHW,162,88,21.2,"$63,703,667 ",1.42,"$90,459,207 ","1,766,172"
2001,CIN,162,66,7.2,"$48,776,000 ",1.42,"$69,261,920 ","1,879,757"
2001,CLE,162,91,25.9,"$92,527,001 ",1.42,"$131,388,341 ","3,182,523"
2001,COL,162,73,28,"$70,916,334 ",1.42,"$100,701,194 ","3,168,579"
2001,DET,162,66,17.5,"$52,831,167 ",1.42,"$75,020,257 ","1,920,995"
2001,FLA,162,76,18.7,"$28,360,500 ",1.42,"$40,271,910 ","1,261,226"
2001,HOU,162,93,20.9,"$58,312,667 ",1.42,"$82,803,987 ","2,906,277"
2001,KCR,162,65,16.8,"$31,970,000 ",1.42,"$45,397,400 ","1,536,101"
2001,LAA,162,75,20.3,"$33,778,500 ",1.42,"$47,965,470 ","2,001,319"
2001,LAD,162,86,17.4,"$101,272,620 ",1.42,"$143,807,120 ","3,017,143"
2001,MIL,162,68,14,"$43,670,833 ",1.42,"$62,012,583 ","2,811,040"
2001,MIN,162,85,25.9,"$23,895,000 ",1.42,"$33,930,900 ","1,782,926"
2001,MON,162,68,0.4,"$34,934,500 ",1.42,"$49,606,990 ","642,743"
2001,NYM,162,82,10.9,"$92,444,428 ",1.42,"$131,271,088 ","2,658,330"
2001,NYY,161,95,18.3,"$110,181,143 ",1.42,"$156,457,223 ","3,264,552"
2001,OAK,162,102,29.4,"$33,810,750 ",1.42,"$48,011,265 ","2,133,477"
2001,PHI,162,86,22,"$41,663,833 ",1.42,"$59,162,643 ","1,782,054"
2001,PIT,162,62,3.8,"$49,535,833 ",1.42,"$70,340,883 ","2,435,867"
2001,SDP,162,79,18.6,"$39,182,833 ",1.42,"$55,639,623 ","2,378,128"
2001,SEA,162,116,50.3,"$72,745,834 ",1.42,"$103,299,084 ","3,512,326"
2001,SFG,162,90,30,"$61,105,167 ",1.42,"$86,769,337 ","3,311,000"
2001,STL,162,93,27.6,"$74,013,333 ",1.42,"$105,098,933 ","3,109,578"
2001,TBD,162,62,11,"$41,980,000 ",1.42,"$59,611,600 ","1,298,075"
2001,TEX,162,73,26.3,"$87,213,500 ",1.42,"$123,843,170 ","2,831,111"
2001,TOR,162,80,18.1,"$73,695,999 ",1.42,"$104,648,319 ","1,895,236"
2002,ARI,162,98,17.3,"$102,819,999 ",1.39,"$142,919,799 ","3,200,725"
2002,ATL,161,101,22.8,"$90,960,367 ",1.39,"$126,434,910 ","2,603,482"
2002,BAL,162,67,18.5,"$47,704,697 ",1.39,"$66,309,529 ","2,682,917"
2002,BOS,162,93,33.1,"$107,311,060 ",1.39,"$149,162,373 ","2,650,063"
