yearID,teamID,G,W,WAR,Salary
2002,CLE,162,74,13.7,"$76,903,949 "
2002,COL,162,73,15.1,"$55,201,043 "
2002,DET,161,55,4.8,"$54,830,500 "
2002,FLA,162,79,18.2,"$41,777,917 "
2002,HOU,162,84,11.2,"$62,698,417 "
2002,KCR,162,62,7.1,"$47,257,000 "
2002,LAD,162,92,25.4,"$85,228,453 "
2002,MIL,162,56,8.2,"$46,532,833 "
2002,MIN,161,94,24.8,"$40,200,000 "
2002,MON,162,83,16.5,"$38,245,500 "
2002,NYM,161,75,14.2,"$91,550,260 "
2002,NYY,161,103,28,"$125,498,583 "
2002,OAK,162,103,25.4,"$39,781,167 "
2002,PHI,161,80,28.9,"$55,004,999 "
2002,PIT,161,72,8.3,"$38,321,099 "
2002,SDP,162,66,10.1,"$41,190,000 "
2002,SEA,162,93,28.9,"$80,282,668 "
2002,SFG,162,95,35.3,"$78,299,835 "
2002,STL,162,97,28.9,"$74,260,875 "
2002,TBD,161,55,13.3,"$33,878,000 "
2002,TEX,162,72,22.6,"$103,359,455 "
2002,TOR,162,78,19.2,"$73,064,333 "
2003,LAA,162,77,20,"$78,729,167 "
2003,ARI,162,84,6.9,"$80,657,000 "
2003,ATL,162,101,36.3,"$103,243,667 "
2003,BAL,163,71,16.7,"$53,547,500 "
2003,BOS,162,95,34.9,"$99,646,500 "
2003,CHC,162,86,12,"$79,258,333 "
2003,CHW,162,88,23,"$51,010,000 "
2003,CIN,162,69,14.7,"$58,965,667 "
2003,CLE,162,68,18.5,"$39,984,834 "
2003,COL,162,74,19.7,"$67,179,667 "
2003,DET,162,43,5.1,"$49,168,000 "
2003,FLA,162,91,18.1,"$49,150,000 "
2003,HOU,162,87,26.6,"$70,730,000 "
2003,KCR,162,83,15,"$40,518,000 "
2003,LAD,162,85,10.9,"$105,572,620 "
2003,MIL,162,68,9.1,"$40,322,000 "
2003,MIN,162,90,24.7,"$55,505,000 "
2003,MON,162,83,8,"$47,848,500 "
2003,NYM,161,66,2.4,"$116,876,429 "
2003,NYY,163,101,31.2,"$147,199,814 "
2003,OAK,162,96,19.1,"$50,260,834 "
2003,PHI,162,86,27.8,"$70,460,000 "
2003,PIT,162,75,17.3,"$50,709,929 "
2003,SDP,162,64,19.1,"$45,210,000 "
2003,SEA,162,93,28.9,"$86,659,167 "
2003,SFG,161,100,23.3,"$74,102,167 "
2003,STL,162,85,29.8,"$82,881,666 "
2003,TBD,162,63,20.6,"$19,630,000 "
2003,TEX,162,71,24.5,"$93,125,000 "
2003,TOR,162,86,24.1,"$50,959,000 "
2004,LAA,162,92,24.2,"$100,233,167 "
2004,ARI,162,51,-0.5,"$69,450,750 "
2004,ATL,162,96,26.8,"$90,182,500 "
2004,BAL,162,78,24.4,"$43,623,333 "
2004,BOS,162,98,29.8,"$126,694,000 "
2004,CHC,162,83,19.8,"$90,560,000 "
2004,CHW,162,89,25.4,"$65,212,500 "
2004,CIN,162,76,18.7,"$46,315,250 "
2004,CLE,162,80,31.6,"$33,700,800 "
2004,COL,162,68,15.7,"$56,445,167 "
2004,DET,162,72,26.6,"$46,203,000 "
2004,FLA,162,83,18.6,"$41,838,042 "
2004,HOU,162,92,25.1,"$75,397,000 "
2004,KCR,162,58,9.6,"$46,667,500 "
2004,LAD,162,93,28,"$81,684,334 "
2004,MIL,161,67,6.3,"$27,528,500 "
2004,MIN,162,92,18,"$48,140,000 "
2004,MON,162,67,7.7,"$40,587,500 "
2004,NYM,162,71,7.6,"$78,844,303 "
2004,NYY,162,101,25.7,"$184,193,950 "
2004,OAK,162,91,22.4,"$59,102,167 "
2004,PHI,162,86,24.5,"$92,619,167 "
2004,PIT,161,72,8.5,"$32,227,929 "
2004,SDP,162,87,26.4,"$55,384,833 "
2004,SEA,162,63,17.9,"$81,215,834 "
2004,SFG,162,91,19.5,"$72,569,166 "
2004,STL,162,105,31.4,"$83,840,333 "
2004,TBD,161,70,16.2,"$29,554,167 "
2004,TEX,162,89,15.4,"$43,183,750 "
2004,TOR,161,67,16.6,"$50,017,000 "
2005,ARI,162,77,15.1,"$62,011,166 "
2005,ATL,162,90,27.8,"$86,457,302 "
2005,BAL,162,74,23.9,"$73,275,833 "
2005,BOS,162,95,30.6,"$123,505,125 "
2005,CHC,162,99,17.8,"$87,032,933 "
2005,CHW,162,79,20,"$74,860,000 "
2005,CIN,163,73,21.6,"$61,552,583 "
2005,CLE,162,93,36.2,"$41,186,000 "
2005,COL,162,67,11.2,"$47,839,000 "
2005,DET,162,71,23.7,"$65,752,500 "
2005,FLA,162,83,14.9,"$60,058,834 "
2005,HOU,163,89,18,"$76,779,000 "
2005,KCR,162,56,2.6,"$33,921,000 "
2005,LAA,162,95,23.5,"$84,400,322 "
2005,LAD,162,71,12.8,"$69,639,000 "
2005,MIL,162,81,16.4,"$39,934,833 "
2005,MIN,162,83,13.2,"$55,540,000 "
2005,NYM,162,83,17.8,"$100,669,321 "
2005,NYY,162,95,26.2,"$208,306,817 "
2005,OAK,162,88,24.4,"$54,025,762 "
2005,PHI,162,88,29.9,"$95,522,000 "
2005,PIT,162,67,15.9,"$37,496,000 "
2005,SDP,162,82,16.3,"$62,623,833 "
2005,SEA,162,69,15.3,"$86,213,334 "
2005,SFG,162,75,6.2,"$90,199,500 "
2005,STL,162,100,29.5,"$91,346,833 "
