id,name,created_at,updated_at
1,Placement,"2015-07-24 03:45:35","2015-07-24 03:45:35"
2,"No Contract","2015-07-24 03:45:35","2015-07-24 03:45:35"
3,Cancelled,"2015-07-24 03:45:35","2015-07-24 03:45:35"
4,Terminated,"2015-07-24 03:45:35","2015-07-24 03:45:35"
5,"Internal Hire","2015-12-19 03:53:38","2015-12-19 03:53:38"
