,industry_name,seniority_name,start_day,seniority_id,days_to_close,preferred_industry_id
53,State & Local,VP,2016-10-07,3.0,89,66.0
54,Software,VP,2016-11-02,3.0,128,213.0
56,Food & Beverages,VP,2016-10-04,3.0,290,129.0
57,Food Production,C-L,2016-05-23,5.0,228,92.0
58,Social,VP,2016-10-06,3.0,116,27.0
59,Business Solutions,VP,2016-11-06,3.0,58,196.0
61,Leasing,VP,2016-10-11,3.0,185,205.0
62,Food Production,VP,2016-11-02,3.0,177,92.0
63,Collaboration,C-L,2016-10-17,5.0,85,197.0
64,Political Organization,C-L,2016-10-16,5.0,219,61.0
65,Business Solutions,VP,2016-10-18,3.0,85,196.0
66,Aviation & Aerospace,VP,2016-11-16,3.0,147,82.0
67,E-Learning,C-L,2016-11-29,5.0,150,202.0
68,Food Production,VP,2016-10-24,3.0,283,92.0
69,Aviation & Aerospace,C-L,2016-10-20,5.0,273,82.0
71,Trading,VP,2016-12-07,3.0,187,41.0
72,Aviation & Aerospace,VP,2016-11-01,3.0,77,82.0
73,Legal Services,EVP,2016-11-16,4.0,208,157.0
74,"Glass, Ceramics & Concrete",C-L,2016-11-08,5.0,188,93.0
75,Biotechnology,C-L,2016-11-01,5.0,286,70.0
76,Dairy,C-L,2016-12-01,5.0,166,88.0
77,Aviation & Aerospace,VP,2016-12-02,3.0,70,82.0
78,Education,VP,2016-10-19,3.0,408,29.0
79,Aviation & Aerospace,VP,2016-12-03,3.0,37,82.0
80,SMB,VP,2016-11-07,3.0,71,212.0
81,Biotechnology,VP,2017-02-09,3.0,204,70.0
82,Health Services & Wellness,VP,2016-12-12,3.0,159,71.0
83,Farming,VP,2016-11-21,3.0,131,90.0
85,SMB,C-L,2016-11-08,5.0,142,212.0
86,Biotechnology,VP,2016-11-30,3.0,135,70.0
87,Aviation & Aerospace,C-L,2016-11-10,5.0,139,82.0
88,State & Local,VP,2016-11-16,3.0,74,66.0
89,Architecture & Planning,C-L,2016-12-14,5.0,92,143.0
90,Health Services & Wellness,Dir,2016-11-14,2.0,274,71.0
91,Political Organization,C-L,2016-12-05,5.0,196,61.0
92,Social,VP,2016-12-15,3.0,327,218.0
93,Aviation & Aerospace,VP,2016-11-15,3.0,111,82.0
94,Biotechnology,VP,2016-12-16,3.0,123,70.0
95,Business Supplies and Equipment,C-L,2016-12-08,5.0,158,84.0
96,Farming,VP,2016-11-21,3.0,49,90.0
97,Food Production,C-L,2016-12-21,5.0,90,92.0
98,Aviation & Aerospace,VP,2016-12-21,3.0,107,82.0
99,Sports,C-L,2016-12-21,5.0,173,170.0
101,Government & Non Profit,VP,2016-12-07,3.0,180,45.0
102,Political Organization,VP,2017-03-09,3.0,95,61.0
103,Aviation & Aerospace,VP,2017-01-04,3.0,7,82.0
104,Aviation & Aerospace,VP,2017-01-05,3.0,68,82.0
105,Automotive,VP,2016-12-12,3.0,73,81.0
